ID,Study ID,Reference,Grouping,Victim,Perpetrator,Route Victim,Route Perpetrator,Mechanism,Compartment,AUCR Avg,AUCR AvgType,AUCR Var,AUCR VarType,CmaxR Avg,CmaxR AvgType,CmaxR Var,CmaxR VarType,t_placebo_0,t_placebo_end,t_treatment_0,t_treatment_end,t Unit,R Dose correction factor,Comment,Dose,Dose free API,Dose Unit,Route,Times of Administration,Times Unit,Description,Comment Regimen,Administered form,Formulation type,Infusion duration [min],Water volume ingested for drug intake [mL],Comment on administration/formulation,Fasted/Fed state,Duration of fasting before drug administration [h],Duration of fasting after drug administration [h],Comment on food intake
900056,Jin 2008,,DGI-OHM-Jin2008_AS0.5_vs_AS2,alpha-Hydroxymetoprolol,,PO,,CYP2D6 activity score,Plasma,0.490,,,,0.340,,,,0,24.000,0,24.000,h,1,DGI ratio AS0.5 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 24 h; Cmax tlast 24 h.,100,,mg,PO,0,h,,,,,,,,,,,
900057,Jin 2008,,DGI-MET-Jin2008_AS1.25_vs_AS2,Metoprolol racemate,,PO,,CYP2D6 activity score,Plasma,2.080,,,,1.700,,,,0,24.000,0,24.000,h,1,DGI ratio AS1.25 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 24 h; Cmax tlast 12 h.,100,,mg,PO,0,h,,,,,,,,,,,
900058,Jin 2008,,DGI-OHM-Jin2008_AS1.25_vs_AS2,alpha-Hydroxymetoprolol,,PO,,CYP2D6 activity score,Plasma,1.000,,,,0.730,,,,0,24.000,0,24.000,h,1,DGI ratio AS1.25 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 24 h; Cmax tlast 24 h.,100,,mg,PO,0,h,,,,,,,,,,,
900059,Hamelin 2000,,DGI-MET-Hamelin2000_PM_vs_NM,Metoprolol racemate,,PO,,CYP2D6 activity score,Plasma,3.360,,,,2.860,,,,0,48.000,0,48.000,h,1,DGI ratio PM / NM from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 48 h; Cmax tlast 24 h.,100,,mg,PO,0,h,,,,,,,,,,,
900060,Sharma 2005,,DGI-MET-Sharma2005_AS0_vs_AS2,Metoprolol racemate,,PO,,CYP2D6 activity score,Plasma,3.120,,,,2.440,,,,0,48.000,0,48.000,h,1,DGI ratio AS0 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 48 h; Cmax tlast 12 h.,100,,mg,PO,0,h,,,,,,,,,,,
900061,Sharma 2005,,DGI-RME-Sharma2005_AS0_vs_AS2,R-Metoprolol,,PO,,CYP2D6 activity score,Plasma,3.790,,,,2.980,,,,0,48.000,0,48.000,h,1,DGI ratio AS0 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 48 h; Cmax tlast 12 h.,100,,mg,PO,0,h,,,,,,,,,,,
900062,Sharma 2005,,DGI-SME-Sharma2005_AS0_vs_AS2,S-Metoprolol,,PO,,CYP2D6 activity score,Plasma,2.720,,,,2.380,,,,0,48.000,0,48.000,h,1,DGI ratio AS0 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 48 h; Cmax tlast 12 h.,100,,mg,PO,0,h,,,,,,,,,,,
900063,Huang 1999,,DGI-RME-Huang1999_AS0.5_vs_AS2,R-Metoprolol,,PO,,CYP2D6 activity score,Plasma,2.820,,,,2.210,,,,0,12.000,0,12.000,h,1,DGI ratio AS0.5 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 12 h; Cmax tlast 12 h.,100,,mg,PO,0,h,,,,,,,,,,,
900064,Huang 1999,,DGI-SME-Huang1999_AS0.5_vs_AS2,S-Metoprolol,,PO,,CYP2D6 activity score,Plasma,2.170,,,,1.720,,,,0,12.000,0,12.000,h,1,DGI ratio AS0.5 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 12 h; Cmax tlast 12 h.,100,,mg,PO,0,h,,,,,,,,,,,
900065,Huang 1999,,DGI-RME-Huang1999_AS1.25_vs_AS2,R-Metoprolol,,PO,,CYP2D6 activity score,Plasma,1.360,,,,1.190,,,,0,12.000,0,12.000,h,1,DGI ratio AS1.25 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 12 h; Cmax tlast 12 h.,100,,mg,PO,0,h,,,,,,,,,,,
900066,Huang 1999,,DGI-SME-Huang1999_AS1.25_vs_AS2,S-Metoprolol,,PO,,CYP2D6 activity score,Plasma,1.270,,,,1.050,,,,0,12.000,0,12.000,h,1,DGI ratio AS1.25 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 12 h; Cmax tlast 12 h.,100,,mg,PO,0,h,,,,,,,,,,,
900067,Seeringer 2008,,DGI-RME-Seeringer2008_AS0_vs_AS2,R-Metoprolol,,PO,,CYP2D6 activity score,Plasma,7.670,,,,3.360,,,,0,24.000,0,24.000,h,1,DGI ratio AS0 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 24 h; Cmax tlast 24 h.,100,,mg,PO,0,h,,,,,,,,,,,
900068,Seeringer 2008,,DGI-SME-Seeringer2008_AS0_vs_AS2,S-Metoprolol,,PO,,CYP2D6 activity score,Plasma,5.220,,,,2.330,,,,0,24.000,0,24.000,h,1,DGI ratio AS0 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 24 h; Cmax tlast 24 h.,100,,mg,PO,0,h,,,,,,,,,,,
900069,Seeringer 2008,,DGI-RME-Seeringer2008_AS3_vs_AS2,R-Metoprolol,,PO,,CYP2D6 activity score,Plasma,0.390,,,,0.520,,,,0,10.000,0,10.000,h,1,DGI ratio AS3 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 10 h; Cmax tlast 24 h.,100,,mg,PO,0,h,,,,,,,,,,,
900070,Seeringer 2008,,DGI-SME-Seeringer2008_AS3_vs_AS2,S-Metoprolol,,PO,,CYP2D6 activity score,Plasma,0.410,,,,0.590,,,,0,10.000,0,10.000,h,1,DGI ratio AS3 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 10 h; Cmax tlast 24 h.,100,,mg,PO,0,h,,,,,,,,,,,
900071,Labbé 2000,,DGI-MEX-Labb2000_PM_vs_NM,Mexiletine,,PO,,CYP2D6 activity score,Plasma,1.540,,,,1.400,,,,0,12.000,0,12.000,h,1,DGI ratio PM / NM from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 12 h; Cmax tlast 12 h.,100,,mg,PO,0,h,,,,,,,,,,,
900072,Abolfathi 1993,,DGI-MEX-Abolfathi1993_PM_vs_NM,Mexiletine,,PO,,CYP2D6 activity score,Plasma,1.390,,,,1.330,,,,0,48.000,0,48.000,h,1,DGI ratio PM / NM from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 48 h; Cmax tlast 48 h.,200,,mg,PO,0,h,,,,,,,,,,,
900073,Chen 2015,,DGI-PAR-Chen2015_AS0.5_vs_AS2,Paroxetine,,PO,,CYP2D6 activity score,Plasma,7.400,,,,5.050,,,,0,96.000,0,96.000,h,1,DGI ratio AS0.5 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 96 h; Cmax tlast 48 h.,25,,mg,PO,0,h,,,,,,,,,,,
900074,Chen 2015,,DGI-PAR-Chen2015_AS1_vs_AS2,Paroxetine,,PO,,CYP2D6 activity score,Plasma,3.680,,,,2.960,,,,0,72.000,0,72.000,h,1,DGI ratio AS1 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 72 h; Cmax tlast 48 h.,25,,mg,PO,0,h,,,,,,,,,,,
